ID,LID,Width,Color,type,LinkID
228,228,1.000,W,0,0
229,229,1.000,W,0,0
230,230,1.000,W,0,0
231,231,1.000,W,0,0
232,232,1.000,W,0,0
233,233,1.000,W,0,0
234,234,1.000,W,0,0
235,235,1.000,W,0,0
236,236,1.000,W,0,0
237,237,1.000,W,0,0
238,238,1.000,W,0,0
239,239,1.000,W,0,0
240,240,1.000,W,0,0
241,241,1.000,W,0,0
242,242,1.000,W,0,0
243,243,1.000,W,0,0
244,244,1.000,W,0,0
245,245,1.000,W,0,0
246,246,1.000,W,0,0
247,247,1.000,W,0,0
248,248,1.000,W,0,0
249,249,1.000,W,0,0
250,250,1.000,W,0,0
251,251,1.000,W,0,0
252,252,1.000,W,0,0
253,253,1.000,W,0,0
254,254,1.000,W,0,0
255,255,1.000,W,0,0
256,256,1.000,W,0,0
257,257,1.000,W,0,0
258,258,1.000,W,0,0
259,259,1.000,W,0,0
260,260,1.000,W,0,0
261,261,1.000,W,0,0
262,262,1.000,W,0,0
263,263,1.000,W,0,0
264,264,1.000,W,0,0
265,265,1.000,W,0,0
266,266,1.000,W,0,0
267,267,1.000,W,0,0
268,268,1.000,W,0,0
269,269,1.000,W,0,0
270,270,1.000,W,0,0
271,271,1.000,W,0,0
272,272,1.000,W,0,0
273,273,1.000,W,0,0
274,274,1.000,W,0,0
275,275,1.000,W,0,0
276,276,1.000,W,0,0
277,277,1.000,W,0,0
278,278,1.000,W,0,0
279,279,1.000,W,0,0
280,280,1.000,W,0,0
281,281,1.000,W,0,0
282,282,1.000,W,0,0
283,283,1.000,W,0,0
284,284,1.000,W,0,0
285,285,1.000,W,0,0
286,286,1.000,W,0,0
287,287,1.000,W,0,0
288,288,1.000,W,0,0
289,289,1.000,W,0,0
290,290,1.000,W,0,0
291,291,1.000,W,0,0
292,292,1.000,W,0,0
293,293,1.000,W,0,0
294,294,1.000,W,0,0
295,295,1.000,W,0,0
296,296,1.000,W,0,0
297,297,1.000,W,0,0
298,298,1.000,W,0,0
299,299,1.000,W,0,0
300,300,1.000,W,0,0
301,301,1.000,W,0,0
302,302,1.000,W,0,0
303,303,1.000,W,0,0
304,304,1.000,W,0,0
305,305,1.000,W,0,0
306,306,1.000,W,0,0
307,307,1.000,W,0,0
308,308,1.000,W,0,0
309,309,1.000,W,0,0
310,310,1.000,W,0,0
311,311,1.000,W,0,0
312,312,1.000,W,0,0
313,313,1.000,W,0,0
314,314,1.000,W,0,0
315,315,1.000,W,0,0
316,316,1.000,W,0,0
317,317,1.000,W,0,0
318,318,1.000,W,0,0
319,319,1.000,W,0,0
320,320,1.000,W,0,0
321,321,1.000,W,0,0
322,322,1.000,W,0,0
323,323,1.000,W,0,0
324,324,1.000,W,0,0
325,325,1.000,W,0,0
326,326,1.000,W,0,0
327,327,1.000,W,0,0
328,328,1.000,W,0,0
329,329,1.000,W,0,0
330,330,1.000,W,0,0
331,331,1.000,W,0,0
332,332,1.000,W,0,0
333,333,1.000,W,0,0
334,334,1.000,W,0,0
335,335,1.000,W,0,0
336,336,1.000,W,0,0
337,337,1.000,W,0,0
338,338,1.000,W,0,0
339,339,1.000,W,0,0
340,340,1.000,W,0,0
341,341,1.000,W,0,0
342,342,1.000,W,0,0
343,343,1.000,W,0,0
344,344,1.000,W,0,0
345,345,1.000,W,0,0
346,346,1.000,W,0,0
347,347,1.000,W,0,0
348,348,1.000,W,0,0
349,349,1.000,W,0,0
350,350,1.000,W,0,0
351,351,1.000,W,0,0
352,352,1.000,W,0,0
353,353,1.000,W,0,0
354,354,1.000,W,0,0
355,355,1.000,W,0,0
356,356,1.000,W,0,0
357,357,1.000,W,0,0
358,358,1.000,W,0,0
359,359,1.000,W,0,0
360,360,1.000,W,0,0
361,361,1.000,W,0,0
362,362,1.000,W,0,0
363,363,1.000,W,0,0
364,364,1.000,W,0,0
365,365,1.000,W,0,0
366,366,1.000,W,0,0
367,367,1.000,W,0,0
368,368,1.000,W,0,0
369,369,1.000,W,0,0
370,370,1.000,W,0,0
371,371,1.000,W,0,0
372,372,1.000,W,0,0
373,373,1.000,W,0,0
374,374,1.000,W,0,0
375,375,1.000,W,0,0
376,376,1.000,W,0,0
377,377,1.000,W,0,0
378,378,1.000,W,0,0
379,379,1.000,W,0,0
380,380,1.000,W,0,0
381,381,1.000,W,0,0
382,382,1.000,W,0,0
383,383,1.000,W,0,0
384,384,1.000,W,0,0
385,385,1.000,W,0,0
386,386,1.000,W,0,0
387,387,1.000,W,0,0
388,388,1.000,W,0,0
389,389,1.000,W,0,0
390,390,1.000,W,0,0
391,391,1.000,W,0,0
392,392,1.000,W,0,0
393,393,1.000,W,0,0
394,394,1.000,W,0,0
395,395,1.000,W,0,0
396,396,1.000,W,0,0
397,397,1.000,W,0,0
398,398,1.000,W,0,0
399,399,1.000,W,0,0
400,400,1.000,W,0,0
401,401,1.000,W,0,0
402,402,1.000,W,0,0
403,403,1.000,W,0,0
404,404,1.000,W,0,0
405,405,1.000,W,0,0
406,406,1.000,W,0,0
407,407,1.000,W,0,0
408,408,1.000,W,0,0
409,409,1.000,W,0,0
410,410,1.000,W,0,0
411,411,1.000,W,0,0
412,412,1.000,W,0,0
413,413,1.000,W,0,0
414,414,1.000,W,0,0
415,415,1.000,W,0,0
416,416,1.000,W,0,0
417,417,1.000,W,0,0
418,418,1.000,W,0,0
419,419,1.000,W,0,0
420,420,1.000,W,0,0
421,421,1.000,W,0,0
422,422,1.000,W,0,0
423,423,1.000,W,0,0
424,424,1.000,W,0,0
425,425,1.000,W,0,0
426,426,1.000,W,0,0
427,427,1.000,W,0,0
428,428,1.000,W,0,0
429,429,1.000,W,0,0
430,430,1.000,W,0,0
431,431,1.000,W,0,0
432,432,1.000,W,0,0
433,433,1.000,W,0,0
434,434,1.000,W,0,0
435,435,1.000,W,0,0
436,436,1.000,W,0,0
437,437,1.000,W,0,0
438,438,1.000,W,0,0
439,439,1.000,W,0,0
440,440,1.000,W,0,0
441,441,1.000,W,0,0
442,442,1.000,W,0,0
443,443,1.000,W,0,0
444,444,1.000,W,0,0
445,445,1.000,W,0,0
446,446,1.000,W,0,0
447,447,1.000,W,0,0
448,448,1.000,W,0,0
449,449,1.000,W,0,0
450,450,1.000,W,0,0
451,451,1.000,W,0,0
452,452,1.000,W,0,0
453,453,1.000,W,0,0
454,454,1.000,W,0,0
455,455,1.000,W,0,0
456,456,1.000,W,0,0
457,457,1.000,W,0,0
458,458,1.000,W,0,0
459,459,1.000,W,0,0
460,460,1.000,W,0,0
461,461,1.000,W,0,0
462,462,1.000,W,0,0
463,463,1.000,W,0,0
464,464,1.000,W,0,0
465,465,1.000,W,0,0
466,466,1.000,W,0,0
467,467,1.000,W,0,0
468,468,1.000,W,0,0
469,469,1.000,W,0,0
470,470,1.000,W,0,0
471,471,1.000,W,0,0
